name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
9,spec_5.dot,90.0,"('d', 'd', 'd', 'a', 'd', 'd', 'a', 'e', 'c', 'd', 'd', 'e')",33,23,19423,17.7,"('c', 'd', 'b', 'd', 'a', 'a', 'a', 'a', 'd', 'e', 'e', 'e', 'a', 'd', 'c', 'b', 'b')",17200
9,spec_4.dot,21.6,NAN,23,15,10634,6.53,"('e', 'a', 'c', 'b', 'b', 'c', 'e', 'd', 'e', 'd', 'e', 'e', 'b', 'e', 'b', 'c', 'b', 'c', 'e', 'c', 'c', 'e', 'd', 'c', 'a', 'e', 'a', 'b', 'b', 'd', 'e', 'e', 'b', 'b', 'a', 'e', 'd', 'a', 'a', 'c', 'e', 'b', 'c', 'a', 'e', 'e', 'b', 'a', 'c', 'e', 'd', 'd', 'a', 'd', 'a', 'd', 'b', 'd', 'a', 'c', 'd', 'b', 'd', 'a', 'c', 'd', 'c', 'b', 'e', 'd', 'c', 'b', 'b', 'd', 'd', 'c', 'b')",6200
9,spec_1.dot,84.1,"('a', 'e', 'e', 'b', 'b', 'e', 'd', 'c', 'd', 'e', 'c', 'c')",30,21,15869,3.09,"('e', 'b', 'd', 'e', 'e', 'a', 'e', 'c', 'c', 'c', 'a', 'd', 'b', 'd', 'b', 'b', 'c', 'b', 'c', 'b', 'c', 'b', 'd', 'b', 'a', 'd', 'd', 'a', 'e', 'a', 'b', 'a', 'd', 'd', 'a', 'e', 'c', 'd', 'b', 'c', 'a', 'e', 'c', 'b', 'd', 'c', 'd', 'e', 'a', 'c', 'a', 'b', 'c', 'e', 'a', 'a', 'e', 'd', 'a', 'a', 'e', 'b', 'e', 'd', 'c', 'e', 'e', 'c', 'b', 'a', 'd', 'a', 'e', 'e', 'a', 'e', 'd', 'b', 'b', 'a', 'c', 'a', 'e', 'c', 'b', 'b', 'a', 'c', 'b', 'c', 'b', 'd', 'b', 'd', 'd', 'd', 'a', 'e', 'd', 'c')",2400
9,spec_3.dot,20.5,NAN,23,15,10634,5.91,"('d', 'b', 'a', 'e', 'b', 'c', 'c', 'e', 'd', 'c', 'e', 'c', 'e', 'c', 'c', 'b', 'a', 'b', 'd', 'b', 'd', 'c', 'd', 'd', 'a', 'a')",4400
9,spec_2.dot,2.5e+02,"('e', 'b', 'd', 'a', 'd', 'a', 'd', 'b', 'e', 'c', 'e', 'b')",63,38,69448,14.2,"('a', 'c', 'c', 'a', 'b', 'e', 'd', 'e', 'd', 'e', 'd', 'd', 'd', 'e', 'a', 'c', 'd', 'c', 'a', 'a', 'b', 'e', 'a', 'a', 'd', 'b', 'a', 'a', 'c', 'c', 'b', 'e', 'e', 'a', 'e', 'e', 'b', 'a', 'c', 'a', 'a', 'd', 'd', 'c', 'a', 'b', 'c', 'b', 'b', 'c', 'b', 'd', 'b', 'e', 'c', 'c', 'e', 'd', 'd', 'a')",12800
11,spec_5.dot,23.2,NAN,28,19,14374,19.1,"('e', 'e', 'c', 'd', 'a', 'e', 'd', 'b', 'a', 'c', 'e', 'a', 'e', 'c', 'b', 'b', 'a', 'e', 'e', 'a', 'e', 'b', 'e', 'a', 'd', 'e', 'd', 'e', 'e', 'd', 'd', 'c', 'd', 'd', 'e', 'e', 'a', 'a', 'c', 'a', 'a', 'd', 'b', 'b', 'a', 'e', 'b', 'e', 'c', 'd', 'c', 'd', 'a', 'd', 'a', 'd', 'd', 'a', 'b', 'b', 'e', 'e', 'd', 'c', 'b', 'e', 'c', 'a', 'b', 'b', 'a', 'c', 'a', 'd', 'd', 'c', 'b', 'a', 'd', 'e', 'd', 'e', 'd', 'd', 'e', 'a', 'b', 'e', 'a', 'e', 'e', 'd')",14600
11,spec_4.dot,85.2,"('b', 'a', 'd', 'd', 'a', 'd', 'c')",31,22,15591,2.29,"('a', 'b', 'd', 'd', 'b', 'd', 'd', 'e', 'b', 'c', 'b', 'e', 'd', 'a', 'd', 'a', 'd', 'e', 'e', 'e', 'a', 'd', 'e', 'b', 'e', 'e', 'a', 'e', 'c', 'b', 'c', 'e', 'e', 'c', 'd', 'c', 'c', 'e', 'd', 'd', 'c', 'e', 'e', 'a', 'b', 'a', 'b', 'c', 'b', 'c', 'b', 'b', 'a', 'd', 'c', 'b', 'c', 'b', 'd', 'd', 'b', 'b', 'b', 'a', 'c', 'b', 'e', 'b', 'c', 'd', 'e', 'b', 'c', 'b', 'b', 'e', 'd', 'c', 'd', 'b', 'b', 'b', 'a', 'a', 'c', 'c', 'a', 'e', 'a', 'b', 'b', 'b', 'b', 'a', 'e', 'a', 'a', 'b', 'e', 'b', 'e', 'b', 'b', 'e', 'd', 'b', 'c', 'e', 'a', 'a', 'a', 'e', 'e', 'c', 'a', 'e', 'b', 'd', 'd', 'd', 'b', 'a', 'e')",1800
11,spec_1.dot,62.4,"('c', 'b', 'a', 'a', 'd', 'a', 'b', 'a')",33,20,16422,14.7,"('b', 'e', 'c', 'c', 'd', 'c', 'e', 'd', 'b', 'a', 'a', 'd', 'a', 'e', 'd', 'e', 'd', 'c', 'c', 'e', 'd', 'c', 'a', 'a', 'c', 'b', 'e')",12800
11,spec_3.dot,42.9,"('c', 'b', 'a', 'a', 'd', 'a', 'b', 'a')",32,20,18703,10.5,"('e', 'c', 'd', 'd', 'a', 'd', 'b', 'c', 'd', 'b', 'b', 'e', 'b', 'b', 'a', 'e', 'c', 'e', 'e', 'c', 'b', 'd', 'd', 'e', 'b', 'c', 'c', 'e', 'd', 'b', 'd', 'a', 'd', 'e', 'd', 'e', 'b', 'd', 'a', 'a', 'e', 'c', 'c', 'e', 'c', 'b', 'a', 'a', 'd', 'c', 'd', 'e', 'c', 'd', 'e', 'e', 'd', 'd')",8800
11,spec_2.dot,24.2,"('b', 'b', 'c', 'b', 'e', 'b', 'a', 'c', 'c', 'e', 'e')",37,25,18458,4.27,"('b', 'd', 'd', 'a', 'd', 'd', 'd', 'c', 'a', 'd', 'b', 'b', 'a', 'b', 'e', 'd', 'b', 'a', 'a', 'b', 'd', 'c', 'e', 'd', 'b', 'b', 'b', 'c', 'e', 'b', 'e', 'e', 'c', 'c', 'd', 'e', 'e', 'a', 'a', 'a', 'a', 'b', 'd', 'a', 'b', 'b', 'c', 'a', 'e', 'd', 'a', 'c', 'c', 'c', 'e', 'e', 'a', 'd', 'd', 'b', 'e', 'b', 'd', 'e', 'c', 'd', 'a', 'a', 'e', 'a', 'd', 'c', 'b', 'e', 'b', 'e', 'd', 'c', 'b', 'e', 'a', 'a', 'd', 'a', 'e', 'c', 'c', 'b', 'e', 'c', 'b', 'a', 'c', 'a', 'e', 'a', 'b', 'e', 'b', 'c', 'd', 'b', 'c', 'c', 'd', 'e', 'e')",3800
