name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
9,spec_5.dot,30.4,"('a', 'a', 'b', 'd', 'd', 'd', 'a', 'd', 'a', 'd', 'd')",28,18,20441,0.108,"('a', 'b', 'a', 'a', 'a', 'd', 'e', 'e', 'e', 'b', 'e', 'a', 'b', 'c', 'd', 'c', 'c', 'e', 'd', 'd', 'a', 'c', 'a', 'd', 'c', 'a', 'b', 'd', 'b', 'e', 'e', 'e', 'a', 'c', 'd', 'b', 'e', 'c', 'd', 'a', 'd', 'd', 'd', 'b', 'd', 'c', 'e', 'e', 'e', 'a', 'a', 'e', 'd', 'c', 'd', 'c', 'b', 'e', 'b', 'd', 'd', 'b', 'a', 'd', 'b', 'a', 'a', 'c', 'c', 'b', 'b', 'd', 'c', 'b', 'd', 'a', 'c', 'b', 'd', 'e', 'b', 'a', 'd', 'e', 'b', 'b', 'b', 'b', 'b', 'c', 'a', 'b', 'b', 'e', 'e', 'e', 'b', 'a', 'a', 'd', 'd', 'e', 'a', 'a', 'c', 'e', 'd', 'd', 'a', 'd', 'c', 'c', 'b', 'e', 'a', 'b', 'c', 'c', 'b', 'd', 'c', 'a', 'c', 'a', 'e', 'e', 'e', 'c', 'd', 'a', 'a', 'a', 'c', 'e', 'b', 'b', 'c', 'a', 'a', 'd', 'd', 'c', 'b', 'd')",200
9,spec_4.dot,44.8,"('a', 'b', 'd', 'a', 'e', 'c', 'c', 'b', 'b', 'a', 'c', 'a', 'c', 'b', 'e', 'a', 'a')",40,26,32289,2.67,"('d', 'c', 'd', 'd', 'a', 'd', 'd', 'a', 'b', 'd', 'd', 'd', 'a', 'd', 'a', 'd', 'a', 'b', 'a', 'b', 'b', 'a', 'd', 'c')",4800
9,spec_1.dot,2.17e+02,"('a', 'a', 'b', 'd', 'd', 'd', 'a', 'd', 'a', 'd', 'd')",28,18,32064,14.7,"('e', 'd', 'b', 'a', 'd', 'e', 'c', 'b', 'c', 'd', 'b', 'e', 'd', 'c', 'd', 'd', 'e', 'c', 'e', 'a', 'e', 'd', 'a', 'c', 'd', 'e', 'b', 'b', 'b', 'd', 'c', 'd', 'a', 'a', 'b', 'd', 'c', 'c', 'd', 'a', 'b', 'b', 'e', 'd', 'e', 'a', 'e', 'a', 'b', 'd', 'b', 'c', 'b', 'd', 'c', 'c', 'd', 'd', 'b', 'b', 'e', 'b', 'd', 'c', 'c', 'b', 'e', 'e', 'e', 'b', 'c', 'a', 'a', 'e', 'b', 'b', 'b', 'e', 'c', 'b', 'b', 'e', 'e', 'a', 'c', 'b', 'c', 'e', 'b', 'a', 'b', 'c', 'c', 'a', 'a', 'b', 'b', 'e', 'c', 'a', 'e', 'a', 'd', 'c', 'e', 'b', 'e', 'c', 'b', 'e', 'b', 'd', 'd', 'd', 'e', 'e', 'e', 'd', 'a', 'd', 'a', 'a', 'b', 'e', 'e', 'a', 'b', 'd', 'e', 'c', 'a', 'b', 'a', 'a', 'e', 'b', 'e', 'c', 'd', 'a', 'd', 'e', 'c', 'd', 'd', 'd', 'b', 'e', 'a', 'e', 'a', 'c', 'b', 'c', 'b', 'b', 'd', 'd', 'a', 'd', 'd', 'c', 'c', 'a', 'a', 'a', 'b', 'd', 'b', 'a', 'b', 'd', 'e', 'e', 'd', 'a', 'e', 'b', 'e', 'c', 'e', 'e', 'e', 'a', 'e', 'c', 'a', 'b', 'c', 'a', 'b', 'c', 'e', 'e', 'b', 'c', 'c', 'e', 'e', 'b', 'b', 'c', 'a', 'b', 'a', 'a', 'b', 'e', 'c', 'd', 'b', 'e', 'a', 'b', 'b', 'c', 'a', 'e', 'c', 'c', 'd', 'c', 'c', 'b', 'c', 'e', 'c', 'c', 'a', 'd', 'e', 'e', 'a', 'e', 'b', 'b', 'd', 'd', 'c')",26000
9,spec_3.dot,23.8,"('a', 'e', 'e', 'b', 'b', 'e', 'd', 'a', 'b', 'a', 'e')",30,21,20482,2.83,"('c', 'c', 'c', 'b', 'a', 'd', 'c', 'c', 'b', 'c', 'c', 'a', 'd', 'd', 'b', 'b', 'a', 'c', 'd', 'e', 'a', 'b', 'd', 'c', 'b', 'a', 'e', 'd', 'a', 'b', 'c', 'c', 'b', 'a', 'a', 'e', 'd', 'b', 'e', 'c', 'a', 'b', 'e', 'e', 'a', 'a', 'e', 'd', 'b', 'd', 'd', 'b', 'e', 'e', 'b', 'b', 'c', 'c', 'e', 'c', 'e', 'a', 'c', 'b', 'b', 'c', 'b', 'c', 'd', 'c', 'a', 'd', 'b', 'a', 'a', 'c', 'd', 'a', 'd', 'c', 'e', 'd', 'e', 'b', 'e', 'b', 'c', 'a', 'e', 'b', 'b', 'e', 'd', 'a', 'd', 'd', 'e', 'e', 'b', 'b', 'd', 'a', 'b')",5000
9,spec_2.dot,25.3,"('a', 'a', 'b', 'd', 'd', 'd', 'a', 'd', 'a', 'd', 'd')",28,18,32762,3.02,"('b', 'd', 'b', 'b', 'c', 'd', 'e', 'e', 'd', 'e', 'a', 'e', 'e', 'e', 'c', 'b', 'a', 'b', 'e', 'd', 'd', 'b', 'a', 'c', 'b', 'e', 'a', 'd', 'c', 'b', 'c', 'c', 'd', 'b', 'a', 'c', 'b', 'c', 'e', 'd', 'c', 'd', 'a', 'a', 'a', 'd', 'e', 'e', 'e', 'a', 'e', 'a', 'd', 'c', 'c', 'd', 'd', 'd', 'e', 'b', 'a', 'c', 'e', 'a', 'b', 'b', 'a', 'c', 'b', 'c', 'e', 'c', 'b')",5400
11,spec_5.dot,18.5,"('b', 'a', 'a', 'e', 'c', 'a', 'b', 'a', 'b', 'a', 'd', 'd', 'a', 'b', 'e')",47,28,43888,2.87,"('e', 'c', 'd', 'b', 'e', 'd', 'c', 'a', 'd', 'e', 'c', 'b', 'c', 'e', 'a', 'e', 'b', 'e', 'b', 'e', 'e', 'e', 'b', 'c', 'e', 'd', 'c', 'c', 'd', 'b', 'a', 'd', 'c', 'c', 'e', 'c', 'e', 'e', 'e', 'e', 'd', 'd', 'b', 'b', 'd', 'd', 'd', 'e', 'e', 'c', 'b', 'c', 'd', 'e', 'd', 'd', 'e', 'e', 'c', 'a', 'a', 'c', 'c', 'c', 'd', 'a', 'a', 'd', 'a', 'd', 'a', 'd', 'd', 'a', 'a', 'c', 'c', 'b', 'c', 'c', 'd', 'c', 'e', 'a', 'a', 'a', 'a', 'a', 'd', 'd', 'b', 'd', 'c', 'c', 'e', 'b', 'a', 'b', 'd', 'b', 'e', 'c', 'e', 'b', 'b', 'a', 'a', 'b', 'c', 'e', 'a', 'd', 'e', 'b', 'b', 'b', 'b', 'b', 'd', 'c', 'c', 'a', 'b', 'c', 'e', 'a', 'e', 'e', 'd', 'c', 'e', 'e', 'e', 'b', 'a', 'd', 'b', 'a', 'e', 'd', 'e', 'b', 'e', 'c', 'e', 'e', 'd', 'b', 'b', 'e', 'a', 'c', 'e', 'b', 'b', 'a', 'b', 'b', 'd', 'b', 'a', 'a', 'b', 'c', 'e', 'c', 'c', 'd', 'a', 'd', 'b', 'c', 'e', 'e', 'a', 'd', 'c', 'd', 'a', 'a', 'b', 'c', 'c', 'e', 'a', 'c', 'b', 'c', 'd', 'b', 'd', 'd', 'b', 'e', 'a', 'c', 'e', 'b', 'e', 'e', 'b', 'e', 'b', 'e', 'a', 'e', 'a', 'a', 'e', 'e', 'a', 'c', 'a', 'a', 'a', 'c', 'e', 'd', 'e', 'e', 'b', 'b', 'a', 'e', 'a', 'a', 'b', 'c', 'a', 'c', 'c', 'b', 'a', 'b', 'b', 'c', 'e', 'e', 'c', 'c', 'e', 'e')",4800
11,spec_4.dot,7.69,"('e', 'e', 'a', 'b', 'c', 'a', 'c', 'a', 'b')",31,20,13830,3.23,"('e', 'd', 'b', 'b', 'b', 'a', 'e', 'a', 'a', 'd', 'd', 'b', 'a', 'b', 'c', 'd', 'c', 'b', 'b', 'a', 'a', 'a', 'c', 'b', 'b', 'b', 'e', 'b', 'e', 'e', 'a', 'c', 'b', 'd', 'd', 'd', 'a', 'e', 'a', 'b', 'd', 'c', 'c', 'd', 'a', 'b', 'd', 'e', 'a', 'd', 'b', 'a', 'd', 'b', 'a', 'e', 'c', 'e', 'e', 'c', 'b', 'e', 'd', 'b', 'd', 'd', 'd', 'd', 'd', 'b', 'd', 'a', 'd', 'e', 'e', 'e', 'a', 'a', 'd', 'd', 'a', 'c', 'a', 'b', 'c', 'a', 'c', 'c', 'b', 'e', 'c')",5600
11,spec_1.dot,14.3,"('a', 'd', 'b', 'a', 'e', 'd', 'a', 'c', 'd', 'e', 'e', 'e', 'b', 'd')",36,24,23251,1.85,"('b', 'e', 'd', 'b', 'b', 'd', 'e', 'e', 'e', 'a', 'e', 'b', 'a', 'd', 'd', 'b', 'e', 'a', 'a', 'c', 'b', 'e', 'c', 'a', 'd', 'd', 'd', 'b', 'c', 'b', 'a', 'c', 'd', 'd', 'c', 'b', 'e', 'b', 'd', 'b', 'a', 'a', 'e', 'e', 'a', 'e', 'c', 'd', 'a', 'c', 'c', 'b', 'a', 'c', 'a', 'e', 'a', 'a', 'e', 'e', 'a', 'b', 'd', 'c', 'b', 'a', 'a', 'd', 'a', 'd', 'd', 'd', 'c', 'c', 'b', 'a', 'e', 'd', 'd')",3200
11,spec_3.dot,3.45e+02,"('a', 'd', 'a', 'd', 'a', 'c', 'a', 'b', 'd', 'd', 'a', 'e')",49,30,61621,2.43,"('d', 'c', 'c', 'c', 'a', 'a', 'c', 'a', 'c', 'd', 'e', 'b', 'c', 'b', 'd', 'b', 'b', 'c', 'e', 'e', 'e', 'b', 'e', 'b', 'e', 'a', 'a', 'c', 'c', 'e', 'c', 'c', 'c', 'a', 'e', 'e', 'a', 'd', 'd', 'c', 'e', 'd', 'd', 'a', 'e', 'e', 'e', 'b', 'd', 'a', 'd', 'a', 'd', 'b', 'c', 'c', 'b', 'a', 'b', 'e', 'c', 'd', 'e', 'c', 'b', 'd', 'b', 'b', 'c', 'e', 'b', 'c', 'c', 'a', 'a', 'a', 'd', 'c', 'a', 'e', 'a', 'd', 'd', 'a', 'c', 'd', 'd', 'b', 'e', 'a', 'a', 'd', 'c', 'c', 'c', 'a', 'a', 'c', 'b', 'b', 'c', 'e', 'b', 'c', 'a', 'a', 'a', 'd', 'b', 'b', 'd', 'b', 'e', 'b', 'c', 'd', 'a', 'a', 'd', 'e', 'e', 'a', 'd', 'd', 'c', 'c', 'e', 'a', 'c', 'e', 'e', 'b', 'c', 'b', 'c', 'a', 'a', 'd', 'b', 'c', 'b', 'a', 'e', 'e', 'e', 'e', 'd', 'a', 'b', 'e', 'a', 'a', 'c', 'c', 'c', 'e', 'e', 'e', 'e', 'b', 'a', 'c', 'c', 'b', 'b', 'b', 'c', 'b', 'a', 'e', 'e', 'd', 'e', 'e', 'c', 'b', 'c', 'b', 'e', 'b', 'a', 'c', 'd', 'e', 'd', 'c', 'd', 'c', 'a', 'c', 'd', 'd', 'c')",4200
11,spec_2.dot,83.4,"('b', 'a', 'd', 'e', 'a', 'a', 'a', 'c', 'd', 'a', 'b', 'b')",36,25,37122,2.32,"('c', 'c', 'c', 'a', 'd', 'e', 'b', 'b', 'b', 'e', 'd', 'd', 'd', 'b', 'd', 'a', 'c', 'a', 'd', 'c', 'e', 'd', 'e', 'e', 'c', 'a', 'd', 'c', 'a', 'e', 'a', 'd', 'c', 'b', 'e', 'd', 'b', 'd', 'a', 'c', 'c', 'a', 'd', 'b', 'a', 'c', 'a', 'c', 'b', 'b', 'd', 'a', 'b', 'e', 'd', 'e', 'b', 'c', 'a', 'a', 'a', 'a', 'a', 'b', 'c', 'b', 'a', 'e', 'b', 'c', 'a', 'd', 'd', 'c', 'a', 'd', 'd', 'a', 'a', 'e', 'e', 'a', 'b', 'd', 'e', 'c', 'a', 'a', 'd', 'c', 'c', 'a', 'a', 'b', 'c', 'd', 'a', 'a', 'c', 'b', 'e', 'a', 'c', 'c', 'b', 'c', 'b', 'a', 'd', 'c', 'e', 'c', 'b', 'd', 'c', 'c', 'b', 'a', 'b', 'b', 'd', 'a', 'b', 'd', 'e', 'c', 'd', 'd', 'b', 'd', 'b', 'e', 'd', 'd', 'd', 'd', 'e', 'e', 'c', 'a', 'd', 'c', 'b', 'c', 'd', 'e', 'a', 'a', 'b', 'd', 'c', 'd', 'd', 'e', 'c', 'd', 'c', 'd', 'c', 'd', 'b', 'c', 'd', 'b', 'b', 'c', 'b', 'b', 'b', 'd', 'b', 'b', 'c', 'e', 'c', 'e', 'b', 'a', 'a', 'c', 'b', 'e', 'b', 'b', 'e', 'e', 'b', 'd', 'd', 'c', 'e', 'd', 'd', 'd', 'd', 'b', 'a', 'd', 'e', 'a', 'c', 'c', 'c', 'e', 'a', 'a', 'a', 'a', 'a', 'a', 'e', 'b', 'd', 'd', 'b', 'b', 'b', 'd', 'e', 'c', 'b', 'a', 'e', 'c', 'b', 'a', 'a', 'c', 'c', 'd', 'b', 'd', 'b', 'c', 'c', 'e', 'c', 'e', 'b', 'a', 'e', 'd', 'c', 'c', 'e', 'a', 'a', 'e', 'c', 'c', 'b', 'd', 'e', 'c', 'b', 'a', 'a', 'd', 'd', 'b', 'e', 'c', 'd', 'c', 'b')",4000
3,spec_5.dot,19.5,"('b', 'd', 'c', 'b', 'a', 'b', 'b')",35,28,42852,3.96,"('c', 'a', 'e', 'e', 'e', 'a', 'a', 'd', 'd', 'b', 'a', 'b', 'e', 'b', 'a', 'a', 'd', 'e', 'a', 'a', 'c', 'a', 'c', 'b', 'e', 'c', 'a', 'e', 'c', 'e', 'c', 'b', 'c', 'e', 'a', 'c', 'd', 'b', 'a', 'a', 'b', 'e', 'c', 'd', 'c', 'e', 'e', 'a', 'b', 'a', 'e', 'a', 'c', 'e', 'c', 'c', 'e', 'a', 'd', 'c', 'a', 'b', 'd', 'a', 'd', 'c', 'd', 'b', 'a', 'd', 'a', 'b', 'd', 'c', 'a', 'a', 'a', 'e', 'd', 'c', 'd', 'a', 'b', 'd', 'a', 'e', 'e', 'e', 'c', 'e', 'b', 'e', 'd', 'b', 'b', 'b', 'e', 'e', 'c', 'a', 'e', 'e', 'c', 'b', 'e', 'e', 'b', 'd', 'd', 'c', 'd', 'b', 'd', 'a', 'd', 'a', 'c', 'e', 'c', 'b', 'e', 'd', 'a', 'c', 'c', 'a', 'b', 'e', 'd', 'd', 'd', 'c', 'd', 'a', 'd', 'c', 'c', 'e', 'b', 'a', 'c')",10400
3,spec_4.dot,9.59,"('b', 'd', 'c', 'b', 'a', 'b', 'b')",17,14,22840,14.2,"('b', 'd', 'c', 'b', 'a', 'b', 'a', 'b', 'c', 'e', 'c', 'e', 'c')",38600
3,spec_1.dot,4.42,"('b', 'a', 'c', 'c', 'e', 'b', 'c', 'c', 'd', 'c', 'b', 'b')",23,17,11598,11.8,"('b', 'a', 'b', 'e', 'c', 'e', 'c', 'b', 'd', 'b', 'a', 'e', 'e', 'd', 'b', 'c', 'c', 'd', 'c', 'b', 'a', 'b', 'a', 'c', 'c', 'b', 'b', 'a', 'e', 'c', 'a', 'e', 'a', 'e', 'b', 'e', 'e')",30600
3,spec_3.dot,35.6,"('c', 'd', 'd', 'e', 'd', 'a', 'a', 'a', 'd', 'd', 'c')",34,29,41806,12.5,"('c', 'd', 'd', 'a', 'e', 'b', 'a', 'd', 'a', 'd', 'a', 'b', 'd', 'd', 'a', 'b', 'e', 'd', 'd', 'e', 'e', 'a', 'c', 'a', 'c', 'a', 'c', 'e', 'a', 'b', 'a', 'd', 'c', 'b', 'a', 'b', 'b', 'e', 'd', 'd', 'd', 'd', 'c', 'b', 'a', 'a', 'a', 'e', 'b', 'd', 'd', 'd', 'c', 'a', 'e', 'a', 'b', 'e', 'a', 'a', 'a', 'b', 'e', 'd', 'e', 'e', 'c', 'c', 'd', 'e', 'c', 'c', 'b', 'b', 'b', 'd', 'a', 'c', 'e', 'd', 'c', 'e', 'b', 'b', 'd', 'a', 'd', 'b', 'e', 'a', 'e', 'd', 'c')",32200
3,spec_2.dot,27.8,"('b', 'd', 'a', 'd', 'a', 'a', 'd', 'e', 'a', 'e', 'a', 'a', 'b')",30,24,36830,13.3,"('c', 'a', 'e', 'd', 'e', 'd', 'd', 'a', 'a', 'c', 'c', 'b', 'b', 'c', 'd', 'd', 'c', 'a', 'e', 'c', 'd', 'a', 'e', 'd', 'd', 'c', 'c', 'e', 'c', 'c', 'e', 'd', 'c', 'b', 'e', 'd', 'c', 'a', 'd', 'a', 'a', 'd', 'c', 'd', 'c', 'b', 'a', 'b', 'c', 'c', 'd', 'c', 'a', 'e')",34800
