name,spec_num,spec_states,spec_fin,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_extraction,extraction_mistake_after,dfa_extract_states,dfa_extract_final,dfa_extract_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
5,1,16,2,17.9,"('c', 'a', 'd', 'e', 'e')",55,3,57604,6.3e+02,NAN,549,8,8228983,0.238,ebdebcdaebecaacbbbdceebdbeaebbcbbbaceeaadecbaceeaddebbeaeaaeadadcdbabbaaecaeadee,280
5,2,16,4,1.33,"('c', 'e', 'a', 'b', 'e')",21,4,6283,6.08e+02,"('c', 'e', 'a', 'b', 'e')",562,10,8647790,0.137,babeaacceddaebdbe,217
5,3,16,10,4.57,"('d', 'd', 'a', 'a', 'b', 'e')",38,2,24716,6.07e+02,NAN,549,9,8165684,0.102,bbeedaeecc,210
5,4,16,7,0.413,"('c', 'a', 'd', 'e', 'e')",11,1,2017,6.06e+02,NAN,562,8,8519756,0.114,daadabacedeeeaceadbe,220
5,5,16,9,1.33,"('a', 'e', 'b', 'c', 'b', 'e')",19,1,6702,6.12e+02,NAN,536,12,7712136,0.114,acdeabbdeebbeec,215
14,1,12,5,13.1,"('d', 'c', 'e', 'c', 'a', 'd', 'e', 'e', 'd', 'd')",31,4,26326,6.07e+02,"('d', 'c', 'e', 'a', 'e', 'b', 'd')",473,67,6050867,2.69,cceeeececbdbaedbbabacbdaacdaedddeaadabbaadeddadddceeaebbddbbcbddcaabebcdcaabdaadbcacecaaaadccdeeaebbcceede,6106
14,2,12,6,8.15e+02,NAN,199,24,1142827,6.44e+02,NAN,512,69,7111673,4.95,cbdbccddbedbccbbaabcdcceebebcbcebbebebedaddddeedebaebdeaeadbddacbbcdeeaeaedeebadaccddddccbdceaddedaebaecbeadedeaaeeadeebcbeedcbedd,12130
14,3,12,11,31.4,"('c', 'a', 'b', 'e', 'd', 'b', 'a', 'a', 'd', 'b', 'd', 'a')",45,3,55689,6.09e+02,NAN,480,63,6422571,49.9,NAN,120000
14,4,12,10,4.39,"('c', 'c', 'e', 'e', 'a', 'e', 'b', 'b', 'a', 'a')",28,4,15270,6.33e+02,NAN,477,62,6583370,5.64,cdedaeaedbbeeceadcebdddbbbeccceeabeceacbbdceeddcadcbcdaebbbebabeadeadebeeaadaedaeeadaaceaccdcccdeededdbeebdcaceadabceebacdccdbbbeaeadddcdcceaaebaaabaccdcabdbadedbdaeebadbabdbadcdaddedeeeccdabbdccabccbdcdcbdcdbbacaebdbcbccecdddadeacecedaddddeddeadddbaeedabaaebdeaeacdbedbdaeeddccc,12079
14,5,12,9,53.3,"('c', 'a', 'b', 'e', 'd', 'b', 'd', 'e', 'e', 'b', 'd')",79,13,141621,6.12e+02,NAN,486,69,6776611,0.179,dbaeebdabaeddceedaebdedccdbeabbecdcbaeeedabedcceeaebcaadbbede,261
21,1,17,15,41.8,"('a', 'b', 'a', 'a', 'a', 'b', 'a', 'e', 'c', 'd', 'e')",23,10,17431,6.13e+02,NAN,460,214,5453561,32.2,abecbdacbcbacbabdbebeecadeaadbdccbdadadcccbceeadedacbdaaaecdbbbcacbbebaeecbebbbbaddbbdecabacaddbecadcbcaecacedcaeeadeaccacdebdcbbdacdcbccadbdebdcebaaaedddccdbaadeaccabbbecdababbbaadbdaacdcddcedadaccaedabeecbdabedbdeddacdcdcbacbebadcebccedddeacdaeedbbaedbacedbdebcabdeecceddabaabaaeeabebbcbabaebaaccccebddeadbaceddbabacadcbdddedbebedeccbbaccadabaadabcacebebeebdbaedbdecabbcbebcacdcaecaaebabaacddaecceedaababdedaaacbcadbcdceebcacadbec,58632
21,2,17,16,64.0,"('e', 'd', 'd', 'e', 'e', 'b', 'c', 'c', 'b', 'c', 'a', 'b', 'b', 'a')",37,20,37080,6.43e+02,NAN,468,212,5712762,15.9,cdadccbddecbebddbadbcbbacdcddbcaabceeaeacedabadccbeaeddecdccaacbbdabbcaccedeaeedcbeedeeadacbbaaececbdbaadacbbddabbaddeabeacebddceccbeaeddbddcdedaaededbeceecebaecbcbcbceeeddddaabdebbbedbecedeadbedbcdaecbbaacabcccdebaaccdccecaecbdbabddcdeebdddededcabaaaabaeaeeada,33061
21,3,17,14,11.7,"('b', 'b', 'a', 'b', 'c', 'd', 'a', 'd', 'a', 'a', 'e', 'a')",33,18,17203,6.06e+02,NAN,378,160,4057957,13.0,deeebdbcebcedbdaedeabadcaaebceebaebbcbaaabaeaadabbaedcdabdddb,28261
21,4,17,14,1.47e+02,"('b', 'c', 'c', 'b', 'b', 'e', 'e', 'a', 'a', 'b', 'a', 'a', 'd', 'd', 'd', 'e', 'e', 'a')",37,12,45167,6.23e+02,NAN,451,205,5043256,6.24,daadcacceccbeabbbdcecdbdebaebabeacaacaacacaaebdacacebceccadabdcddeeebdadebdddeddccaddaabdeaccbacebdceaeecbeeaeabbbcecbbdaecadeaaebaababaaccdebbbecdaeeabaebeccdacaaceceebdeeeacebddeddeabeededeaedbaaceeeeccdcddaacbedecaebedacacacdccddebbbbccaacbdbcadcd,9650
21,5,17,14,5.71,"('b', 'd', 'd', 'd', 'e', 'e', 'b', 'c', 'c', 'a', 'd', 'a')",25,15,8966,6.01e+02,NAN,457,211,5380058,36.0,addecaaceadbceadbaebacaccaaedadccdacebbccababccaecddeedaedaaddddebaebacbccaecbeaedacbbcbeacbbccdbaaecabdaeadbcaeeaadaccdeaeacabaecbaeaedeecdecbadbecbdcbcbacecedcbcdddaeaaddcbbeacbbddcddbccdaabbbae,77396
19,1,21,17,21.2,"('a', 'b', 'e', 'c', 'a', 'd', 'c', 'a', 'b', 'd', 'c', 'e', 'c', 'b', 'a', 'b')",34,22,35321,6.21e+02,NAN,369,206,3470116,12.3,aeceaebeddabecdabdecedeecadcddaebcbcbdeeddaadddebbacddaedbbdaaabbedabddbedeccbadaaaabceaab,20890
19,2,21,20,30.4,"('a', 'a', 'd', 'e', 'a', 'b', 'c', 'a', 'd', 'e', 'c', 'd', 'a', 'd', 'c', 'b')",41,26,38658,6.03e+02,NAN,363,210,3367753,51.7,adbadbcedaeccbebddeaecddaddacaebbdecdaacaceaabebaeceaeebaeb,87059
19,3,21,20,69.8,"('c', 'b', 'a', 'a', 'c', 'a', 'e', 'a', 'a', 'd', 'a', 'a', 'a')",41,26,37344,6.28e+02,NAN,375,236,3558202,31.0,dcbcecbadeeeaceebabedbccbecabedecbaecbcdacabdceadebccaddedbebaaeccdcccaceaecbdcacbbedecaecbceaecebaaedadbebbbbcbaebdabbcebaddbbcbdbcddbbdeccdabaeaeabcddbeeceebaeaececeeac,50170
19,4,21,15,4.93,"('a', 'e', 'a', 'b', 'a', 'e', 'c', 'a', 'd', 'e', 'd')",27,16,10963,6.32e+02,NAN,339,193,3015870,20.6,adcacbeacacabcbcdedecaedecbaadbcedeebbbbebdbbdddadcdaecbcdaababcddeeaabedecdcbccebccacdabcdbaccebeeabaedcaebedbaecdeeaedbccabceabbdecdddbcadebcbdacadebdaacbaeabdcdcdbeebeeceebdedebcddbabbbeedcebdcadbbaddccdcdeabcaecaeadabaaeaeabedbcdadddbebcebdaeccadccacbececdceaadeaecdaeebaaadabddeecdcabcaadadcdbdceaeddaaabcabddddaccbdcbeeebeddccbcacaeaedcbbadaaabcbbdcbdabaccebcdaadcdcdecadbbcabcdadbadceaceedbbaeeadccbddeebeaaaadccdadb,24023
19,5,21,15,5.48,"('a', 'e', 'a', 'a', 'b', 'a', 'e', 'c', 'a', 'd', 'e', 'b')",31,19,16646,6.36e+02,NAN,303,171,2350443,29.2,dceccbdbaabcadacbaadeddbcbaadeaaaddcaedecdbdabbbaacdbccbceaecccebddddeccacdedeadaedbcaaeaeaacbaababbeaeeecdcbabcbddbbcdddcdcbedcecaaddebeaccdddaabccebdecadccdcebbacaddeccbcdadcaddbacde,49184
29,1,19,8,64.6,"('a', 'a', 'c', 'a', 'b', 'd', 'a', 'b', 'd', 'c')",31,12,24764,6.13e+02,NAN,407,137,4060714,1.53,debcacceeeeadebaabadcbcadaabdedaaedddecbbaadeecdcecddebbaceaaccdaacdbccbdbaac,2877
29,2,19,9,9.68,"('b', 'e', 'e', 'b', 'b', 'b', 'a', 'd', 'e')",23,7,21124,6.3e+02,NAN,438,147,4861743,1.18,ccbbbbbaebc,2211
29,3,19,10,32.4,"('b', 'b', 'c', 'a', 'e', 'b', 'd', 'd', 'c', 'b')",24,8,30744,6.44e+02,NAN,464,152,5957771,8.68,bbdedbcbeedbdbddadecacbbcadcbdbddc,17834
